Number,Name,Generation,About,Types/0,Types/1,Weight/Minimum,Weight/Maximum,Height/Minimum,Height/Maximum,Base Stamina,Base Attack,Base Defense,Base Flee Rate,MaxCP,MaxHP
1,Bulbasaur,Generation I,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.",Grass,Poison,6.04kg,7.76kg,0.61m,0.79m,90 stamina points.,118 attack points.,118 defense points.,10% chance to flee.,951,1071
2,Ivysaur,Generation I,"There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.",Grass,Poison,11.38kg,14.63kg,0.88m,1.13m,120 stamina points.,151 attack points.,151 defense points.,7% chance to flee.,1483,1632
3,Venusaur,Generation I,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,Grass,Poison,87.5kg,112.5kg,1.75m,2.25m,160 stamina points.,198 attack points.,198 defense points.,5% chance to flee.,2392,2580
4,Charmander,Generation I,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",Fire,,7.44kg,9.56kg,0.53m,0.68m,78 stamina points.,116 attack points.,96 defense points.,10% chance to flee.,841,955
5,Charmeleon,Generation I,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",Fire,,16.63kg,21.38kg,0.96m,1.24m,116 stamina points.,158 attack points.,129 defense points.,7% chance to flee.,1411,1557
6,Charizard,Generation I,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",Fire,Flying,79.19kg,101.81kg,1.49m,1.91m,156 stamina points.,223 attack points.,176 defense points.,5% chance to flee.,2413,2602
7,Squirtle,Generation I,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",Water,,7.88kg,10.13kg,0.44m,0.56m,88 stamina points.,94 attack points.,122 defense points.,10% chance to flee.,891,1008
8,Wartortle,Generation I,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.",Water,,19.69kg,25.31kg,0.88m,1.13m,118 stamina points.,126 attack points.,155 defense points.,7% chance to flee.,1435,1582
9,Blastoise,Generation I,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,Water,,74.81kg,96.19kg,1.4m,1.8m,158 stamina points.,171 attack points.,210 defense points.,5% chance to flee.,2355,2542
10,Caterpie,Generation I,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",Bug,,2.54kg,3.26kg,0.26m,0.34m,90 stamina points.,55 attack points.,62 defense points.,20% chance to flee.,367,443
11,Metapod,Generation I,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,Bug,,8.66kg,11.14kg,0.61m,0.79m,100 stamina points.,45 attack points.,94 defense points.,9% chance to flee.,397,477
12,Butterfree,Generation I,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",Bug,Flying,28kg,36kg,0.96m,1.24m,120 stamina points.,167 attack points.,151 defense points.,6% chance to flee.,1315,1454
13,Weedle,Generation I,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,Bug,Poison,2.8kg,3.6kg,0.26m,0.34m,80 stamina points.,63 attack points.,55 defense points.,20% chance to flee.,372,449
